price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
1500000000,4,3,100,136,2,2200,2,2022,2,1,0,0,0,0,0,0,0,0
300000000,2,1,60,36,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
365000000,2,1,60,36,1,1300,1,2018,0,1,0,0,0,0,0,0,0,0
350000000,2,1,60,38,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
351000000,2,1,60,38,1,1300,1,2020,0,1,0,0,0,0,0,0,0,0
393000000,2,1,60,36,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
392000000,2,1,72,36,1,1300,1,2021,0,1,0,0,0,0,0,0,0,0
440000000,2,1,66,36,1,1300,1,2021,1,1,0,0,0,0,0,0,0,0
351000000,2,1,60,38,1,1300,1,2020,0,1,0,0,0,0,0,0,0,0
401000000,2,1,66,38,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
1990000000,4,4,160,216,0,4400,2,2017,0,1,0,0,0,0,0,0,0,0
1150000000,3,2,126,126,1,2200,2,2015,0,1,0,0,0,0,0,0,0,0
-2147483648,5,4,376,700,2,3300,2,2015,2,1,0,0,0,0,0,0,0,0
950000000,3,2,66,87,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1500000000,2,2,126,80,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1250000000,2,2,84,56,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1200000000,5,3,152,200,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,5,5,376,700,3,3300,2,2018,2,1,0,0,0,0,0,0,0,0
850000000,2,1,90,60,1,2200,1,2010,0,1,0,0,0,0,0,0,0,0
1280000000,3,2,139,120,1,2200,1,2018,1,1,0,0,0,0,0,0,0,0
895000000,3,3,58,90,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
1450000000,4,3,131,225,1,2200,2,2020,1,1,0,0,0,0,0,0,0,0
1300000000,2,1,126,90,1,2200,1,2010,0,1,0,0,0,0,0,0,0,0
690000000,2,2,90,60,1,1300,1,2006,0,1,0,0,0,0,0,0,0,0
950000000,2,1,90,120,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1350000000,4,3,90,160,1,4400,2,2018,1,1,0,0,0,0,0,0,0,0
1000000000,3,2,138,120,1,2200,1,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,3,3,160,216,1,2200,3,2017,1,1,0,0,0,0,0,0,0,0
1150000000,3,2,78,52,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
342000000,2,1,36,63,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
327000000,2,1,36,60,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
975000000,2,1,90,70,1,2200,1,2015,0,1,0,0,0,0,0,0,0,0
975000000,3,2,90,70,0,2200,1,2018,0,1,0,0,0,0,0,0,0,0
1370000000,4,3,105,100,0,2200,2,2015,0,1,0,0,0,0,0,0,0,0
1370000000,4,3,105,100,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,144,157,0,3500,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,144,157,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,144,157,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1200000000,3,2,126,94,0,1300,1,2018,0,1,0,0,0,0,0,0,0,0
1550000000,2,3,114,228,0,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1250000000,2,2,108,69,0,2200,1,2017,0,1,0,0,0,0,0,0,0,0
168000000,2,1,60,29,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
1400000000,3,1,144,77,0,2200,1,2018,0,1,0,0,0,0,0,0,0,0
799000000,3,2,77,140,0,3500,2,2018,0,1,0,0,0,0,0,0,0,0
779000000,3,2,54,63,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
775000000,2,1,66,60,1,2200,1,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,144,157,2,3500,2,2014,2,1,0,0,0,0,0,0,0,0
779000000,3,2,63,53,0,2200,1,2022,0,1,0,0,0,0,0,0,0,0
1750000000,2,2,179,56,1,2200,2,2020,0,1,0,0,0,0,0,0,0,0
1250000000,5,4,125,136,1,3500,2,2018,1,1,0,0,0,0,0,0,0,0
870000000,3,2,94,70,1,1300,1,2015,0,1,0,0,0,0,0,0,0,0
1500000000,2,2,126,80,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1500000000,3,2,105,105,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,4,4,325,200,2,3160,3,2018,1,1,0,0,0,0,0,0,0,0
1300000000,2,2,90,90,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1300000000,2,2,90,90,0,3160,2,2018,0,1,0,0,0,0,0,0,0,0
1800000000,2,2,133,80,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
520000000,3,1,36,60,0,1300,1,2018,1,1,0,0,0,0,0,0,0,0
1300000000,2,2,84,56,2,2200,2,2018,0,1,0,0,0,0,0,0,0,0
685000000,2,1,94,110,1,2200,1,2016,1,1,0,0,0,0,0,0,0,0
930000000,2,1,105,70,1,1300,1,2016,1,1,0,0,0,0,0,0,0,0
685000000,2,1,94,110,1,3160,1,2016,1,1,0,0,0,0,0,0,0,0
2100000000,4,3,180,150,2,3160,2,2018,0,1,0,0,0,0,0,0,0,0
520000000,3,1,60,45,1,1300,1,2018,0,1,0,0,0,0,0,0,0,0
520000000,3,1,60,45,1,1300,1,2018,0,1,0,0,0,0,0,0,0,0
1200000000,2,1,119,63,1,2200,1,2015,1,1,0,0,0,0,0,0,0,0
1200000000,2,1,119,63,0,2200,1,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,2,144,121,0,2200,1,2018,0,1,0,0,0,0,0,0,0,0
1450000000,4,3,131,225,2,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1200000000,2,2,90,53,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1450000000,4,3,131,225,2,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1400000000,2,2,108,69,2,2200,2,2018,0,1,0,0,0,0,0,0,0,0
620000000,2,1,96,70,1,1300,1,2018,0,1,0,0,0,0,0,0,0,0
1450000000,2,2,144,110,1,3500,1,2018,0,1,0,0,0,0,0,0,0,0
1800000000,3,2,144,120,0,2200,1,2018,0,1,0,0,0,0,0,0,0,0
1600000000,3,2,160,260,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,4,5,160,280,0,7600,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,4,5,160,280,0,7600,2,2018,0,1,0,0,0,0,0,0,0,0
1600000000,3,2,120,260,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1800000000,3,2,144,120,0,2200,1,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,270,175,2,5500,2,2018,0,1,0,0,0,0,0,0,0,0
1400000000,2,2,108,69,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
970000000,3,2,53,63,1,1300,2,2022,0,1,0,0,0,0,0,0,0,0
575000000,2,1,60,55,1,1300,2,2022,1,1,0,0,0,0,0,0,0,0
900000000,3,2,72,69,1,1300,2,2020,1,1,0,0,0,0,0,0,0,0
1250000000,3,3,60,110,2,2200,3,2022,0,1,0,0,0,0,0,0,0,0
525000000,3,1,72,42,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
510000000,2,1,70,38,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
895000000,2,2,92,120,1,1300,2,2015,0,1,0,0,0,0,0,0,0,0
-2147483648,4,3,135,110,2,5500,2,2018,0,1,0,0,0,0,0,0,0,0
1650000000,4,3,165,180,2,2200,2,2015,2,1,0,0,0,0,0,0,0,0
690000000,1,1,94,75,1,1300,1,2021,1,1,0,0,0,0,0,0,0,0
750000000,2,1,78,54,1,1300,1,2021,0,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
42000000,2,2,60,40,1,1300,1,2021,0,1,0,0,0,0,0,0,0,0
1400000000,3,3,77,150,1,3300,3,2018,0,1,0,0,0,0,0,0,0,0
500000000,2,2,60,48,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
342000000,2,1,66,63,1,1300,1,2022,2,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
500000000,2,2,60,48,1,2200,1,2022,1,1,0,0,0,0,0,0,0,0
1150000000,2,1,90,70,1,2200,1,2018,0,1,0,0,0,0,0,0,0,0
599000000,2,1,72,60,1,1300,1,2018,1,1,0,0,0,0,0,0,0,0
1680000000,3,2,200,90,1,2200,1,2018,1,1,0,0,0,0,0,0,0,0
1560000000,3,3,121,105,2,2200,2,2022,2,1,0,0,0,0,0,0,0,0
1180000000,3,3,84,77,2,1300,2,2020,0,1,0,0,0,0,0,0,0,0
1180000000,3,2,84,77,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
990000000,3,2,95,60,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
800000000,3,2,84,91,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
718000000,2,1,72,40,2,1300,1,2022,1,1,0,0,0,0,0,0,0,0
1390000000,3,2,60,64,1,2200,2,2023,0,1,0,0,0,0,0,0,0,0
764000000,3,3,78,83,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1200000000,4,3,86,115,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1310000000,3,3,86,115,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
680000000,2,1,72,36,1,1300,1,2018,0,1,0,0,0,0,0,0,0,0
680000000,2,1,72,36,0,1300,1,2018,1,1,0,0,0,0,0,0,0,0
1200000000,3,2,165,90,0,1300,1,2018,1,1,0,0,0,0,0,0,0,0
680000000,2,1,72,36,0,1300,1,2018,1,1,0,0,0,0,0,0,0,0
680000000,2,1,72,36,0,1300,1,2018,1,1,0,0,0,0,0,0,0,0
1200000000,3,2,165,90,0,1300,1,2018,1,1,0,0,0,0,0,0,0,0
680000000,2,1,72,36,1,1300,1,2018,1,1,0,0,0,0,0,0,0,0
1200000000,3,2,165,90,1,1300,1,2018,1,1,0,0,0,0,0,0,0,0
390000000,2,1,60,36,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
455000000,2,1,70,41,1,2200,1,2022,0,1,0,0,0,0,0,0,0,0
1010000000,3,2,125,65,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
